MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,FireplaceQu_Score,FireplaceFeature,GarageCapacityScore,TotalSize,BasementUtilityScore
60,RL,65.0,8450,No,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,0,150,GasA,Ex,Y,SBrkr,0,0,2,1,3,1,Gd,Typ,Attchd,2003.0,RFn,TA,TA,Y,0,61,0,0,0,0,No,No,0,2,2008,WD,Normal,208500,0,0,1096,2566,706
20,RL,80.0,9600,No,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,0,284,GasA,Ex,Y,SBrkr,0,1,2,0,3,1,TA,Typ,Attchd,1976.0,RFn,TA,TA,Y,298,0,0,0,0,0,No,No,0,5,2007,WD,Normal,181500,3,3,920,2524,0
60,RL,68.0,11250,No,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,0,434,GasA,Ex,Y,SBrkr,0,0,2,1,3,1,Gd,Typ,Attchd,2001.0,RFn,TA,TA,Y,0,42,0,0,0,0,No,No,0,9,2008,WD,Normal,223500,3,3,1216,2706,486
70,RL,60.0,9550,No,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,No,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,0,540,GasA,Gd,Y,SBrkr,0,0,1,0,3,1,Gd,Typ,Detchd,1998.0,Unf,TA,TA,Y,0,35,272,0,0,0,No,No,0,2,2006,WD,Abnorml,140000,4,4,1926,2473,216
60,RL,84.0,14260,No,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,0,490,GasA,Ex,Y,SBrkr,0,0,2,1,4,1,Gd,Typ,Attchd,2000.0,RFn,TA,TA,Y,192,84,0,0,0,0,No,No,0,12,2008,WD,Normal,250000,3,3,2508,3343,655
50,RL,85.0,14115,No,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,0,64,GasA,Ex,Y,SBrkr,0,0,1,1,1,1,TA,Typ,Attchd,1993.0,Unf,TA,TA,Y,40,30,0,320,0,0,No,MnPrv,700,10,2009,WD,Normal,143000,0,0,960,2158,732
20,RL,75.0,10084,No,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,0,317,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,Typ,Attchd,2004.0,RFn,TA,TA,Y,255,57,0,0,0,0,No,No,0,8,2007,WD,Normal,307000,4,4,1272,3380,1369
60,RL,80.0,10382,No,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,32,216,GasA,Ex,Y,SBrkr,0,0,2,1,3,1,TA,Typ,Attchd,1973.0,RFn,TA,TA,Y,235,204,228,0,0,0,No,No,350,11,2009,WD,Normal,200000,3,6,968,3197,859
50,RM,51.0,6120,No,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,0,952,GasA,Gd,Y,FuseF,0,0,2,0,2,2,TA,Min1,Detchd,1931.0,Unf,Fa,TA,Y,90,0,205,0,0,0,No,No,0,4,2008,WD,Abnorml,129900,3,6,936,2726,0
190,RL,50.0,7420,No,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,0,140,GasA,Ex,Y,SBrkr,0,0,1,0,2,2,TA,Typ,Attchd,1939.0,RFn,Gd,TA,Y,0,4,0,0,0,0,No,No,0,1,2008,WD,Normal,118000,3,6,205,2068,851
20,RL,70.0,11200,No,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,0,134,GasA,Ex,Y,SBrkr,0,0,1,0,3,1,TA,Typ,Detchd,1965.0,Unf,TA,TA,Y,0,0,0,0,0,0,No,No,0,2,2008,WD,Normal,129500,0,0,384,2080,906
